Produse comandate in data de 2021-05-13
Coal-Roasted Eggplants  - 47.0
Chocolate Marshmallow Eggs  - 19.0
Tropical Fruit Salsa with Jalapeño and Bell Peppers  - 95.0
3-Ingredient Peanut Butter Cookies  - 74.0
Blood Orange Champagne Cocktail  - 62.0
Blackberry Syrup  - 10.0
Champagne Americana  - 45.0
Peppery Fig and Cider Compote  - 75.0
Blood-Orange Mimosas  - 77.0
Watermelon-Mint Agua Fresca  - 85.0
Brown Sugar Peaches  - 81.0
Peach-Riesling Sangria  - 55.0
Island Rum Punch  - 60.0
Sweet-and-Tart Cranberry Sauce  - 95.0
Les Quatres Mendiants  - 52.0
Brandied Dried Cranberries and Cherries  - 29.0
Steamed Asian White Rice  - 71.0
Brown-Rice Flour Mix  - 88.0
Rosemary Shortbread Carlsson  - 88.0
Shallot and Garlic Butter  - 56.0
Sour Cherry Syrup  - 54.0
Peches Melba  - 13.0
Lychee Martini  - 17.0
Grilled Lamb with Lima Bean Skordalia  - 52.0
Skordalia (Garlic Dip)  - 59.0
Lapte - 5.0
